fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_until_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Guava,not_spoiled,20250625,1,1,18,17,25,3,26.95,28.66,1.71,17,17,17,3,TRUE,TRUE,TRUE,3,16.064,15.352,14.396,15.2707,FALSE,5,5,FALSE,,26.58,28.48,1.9,27.82,29.39,1.57,26.61,28.29,1.68,0.6035,15.8734,16.2546,0.8827,16.2246,14.4794,2.1157,16.496,12.296,test
Guava,not_spoiled,20250626,2,2,17,17,16,3,27.34,28.7,1.36,17,17,17,3,TRUE,TRUE,TRUE,3,14.1438,13.5112,7.857,11.8373,FALSE,4,4,FALSE,,27.08,28.22,1.14,26.95,28.56,1.61,28.02,29.35,1.33,0.9868,13.1518,15.1358,0.281,13.5324,13.49,0.0817,7.83,7.884,train
Guava,not_spoiled,20250627,3,3,17,17,17,3,26.93,28.16,1.23,17,17,17,3,TRUE,TRUE,TRUE,3,8.4227,13.8012,14.1441,12.1227,FALSE,3,3,FALSE,,26.82,28.0,1.18,26.91,28.11,1.2,27.05,28.38,1.33,0.25,8.4506,8.3947,1.0755,14.8674,12.735,0.3702,13.78,14.5081,train
Guava,not_spoiled,20250628,4,4,17,17,17,3,27.76,28.97,1.21,17,17,17,3,TRUE,TRUE,TRUE,3,14.4842,12.0892,12.6888,13.0874,FALSE,2,2,FALSE,,26.61,27.75,1.14,28.38,29.65,1.27,28.29,29.51,1.22,2.4813,16.945,12.0235,0.8479,12.9262,11.2522,0.939,11.7603,13.6172,val
Guava,spoiled,20250630,5,1,17,17,17,3,29.36,30.75,1.39,17,17,17,3,TRUE,TRUE,TRUE,3,15.6701,10.3125,8.5482,11.5103,FALSE,0,0,FALSE,,28.11,29.21,1.1,29.73,31.14,1.41,30.25,31.89,1.64,1.1514,16.8187,14.5216,2.1339,12.4332,8.1917,0.724,9.2664,7.83,train
Guava,spoiled,20250701,6,2,17,17,17,3,29.29,30.85,1.56,17,17,17,3,TRUE,TRUE,TRUE,3,11.5149,15.5166,16.607,14.5462,FALSE,0,-1,FALSE,,28.42,29.72,1.3,29.42,30.97,1.55,30.03,31.88,1.85,1.8861,13.378,9.6519,0.2238,15.7235,15.3097,0.053,16.5933,16.6207,test
Guava,spoiled,20250702,7,3,17,17,17,3,28.29,29.9,1.61,17,17,17,3,TRUE,TRUE,TRUE,3,17.135,18.6067,12.1751,15.9723,FALSE,0,-2,FALSE,,28.26,29.74,1.48,28.49,30.18,1.69,28.12,29.78,1.66,2.7678,19.8783,14.3917,0.8413,19.4297,17.7837,0.066,12.1435,12.2068,train
Guava,spoiled,20250703,8,4,17,17,17,3,27.26,28.89,1.63,17,17,17,3,TRUE,TRUE,TRUE,3,16.1784,13.2348,15.1079,14.8404,FALSE,0,-3,FALSE,,27.23,28.65,1.42,27.43,28.93,1.5,27.11,29.09,1.98,0.6078,15.5871,16.7697,0.3484,13.5762,12.8934,0.817,14.2761,15.9398,train
Guava,spoiled,20250704,9,5,17,17,17,3,27.03,29.07,2.04,17,17,17,3,TRUE,TRUE,TRUE,3,14.809,11.9522,12.1563,12.9725,FALSE,0,-4,FALSE,,25.98,27.81,1.83,27.34,29.36,2.02,27.77,30.04,2.27,1.2936,16.0927,13.5253,0.1866,12.13,11.7744,0.9167,13.0686,11.2441,train
Guava,spoiled,20250705,10,6,17,17,17,3,27.1,29.24,2.14,17,20,14,3,TRUE,TRUE,TRUE,3,13.1254,11.2722,8.9436,11.1137,FALSE,0,-5,FALSE,,27.14,29.14,2.0,26.41,28.61,2.2,27.75,29.95,2.2,0.5362,13.6602,12.5906,2.0007,13.2844,9.26,0.358,8.59,9.2971,val
