fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_until_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Indian_Gooseberry,not_spoiled,20250723,1,1,17,18,17,3,26.94,28.15,1.21,17,17,17,3,FALSE,TRUE,TRUE,2,,16.8558,13.2012,15.0285,FALSE,21,21,FALSE,,26.58,27.77,1.19,27.17,28.33,1.16,27.05,28.32,1.27,,,,0.2289,17.0814,16.6303,0.4096,12.8,13.6025,train
Indian_Gooseberry,not_spoiled,20250724,2,2,17,17,17,3,27.16,28.42,1.26,17,17,34,3,TRUE,TRUE,TRUE,3,17.2356,14.9642,17.6395,16.6131,FALSE,20,20,FALSE,,26.78,28.07,1.29,27.23,28.49,1.26,27.46,28.69,1.23,0.3269,17.5582,16.9131,1.5651,13.43,16.4983,0.88,18.5015,16.7775,train
Indian_Gooseberry,not_spoiled,20250725,3,3,17,17,17,3,26.75,28.01,1.26,17,17,17,3,TRUE,TRUE,TRUE,3,16.4496,17.035,16.5278,16.6708,FALSE,19,19,FALSE,,26.51,27.81,1.3,26.61,27.87,1.26,27.14,28.34,1.2,0.2759,16.7192,16.18,0.5864,16.46,17.61,1.2119,15.3385,17.7171,train
Indian_Gooseberry,not_spoiled,20250726,4,4,17,17,17,3,26.45,27.75,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,13.375,13.65,13.9672,13.6641,FALSE,18,18,FALSE,,26.02,27.37,1.35,26.84,28.07,1.23,26.49,27.8,1.31,0.9929,12.4,14.35,0.6017,14.24,13.06,1.3648,15.3,12.6345,train
Indian_Gooseberry,not_spoiled,20250728,5,5,17,17,17,3,27.86,29.15,1.29,17,17,17,3,TRUE,TRUE,TRUE,3,18.2219,17.0969,13.495,16.2713,FALSE,16,16,FALSE,,26.35,27.64,1.29,27.55,28.84,1.29,29.68,30.98,1.3,0.7278,18.9346,17.5092,0.062,17.0831,17.1108,1.0899,12.42,14.57,train
Indian_Gooseberry,not_spoiled,20250729,6,6,17,17,17,3,29.68,31.04,1.36,17,17,17,3,TRUE,TRUE,TRUE,3,18.8008,18.15,15.75,17.5669,FALSE,15,15,FALSE,,28.32,29.58,1.26,29.68,31.11,1.43,31.03,32.43,1.4,2.6181,21.3677,16.2338,1.1722,19.3,17.0,0.051,15.7,15.8,train
Indian_Gooseberry,not_spoiled,20250730,7,7,17,17,17,3,30.24,31.57,1.33,17,17,17,3,TRUE,TRUE,TRUE,3,19.0654,19.005,16.3688,18.1464,FALSE,14,14,FALSE,,29.38,30.67,1.29,29.87,31.14,1.27,31.46,32.91,1.45,0.6363,18.44,19.6907,0.5769,18.44,19.57,1.292,15.1,17.6377,train
Indian_Gooseberry,not_spoiled,20250731,8,8,17,17,17,3,30.64,32.04,1.4,17,17,17,3,TRUE,TRUE,TRUE,3,18.4731,16.715,17.7478,17.6453,FALSE,13,13,FALSE,,29.93,31.33,1.4,30.33,31.61,1.28,31.66,33.19,1.53,4.2048,14.35,22.5962,0.8325,17.53,15.9,0.9457,18.6873,16.8083,val
Indian_Gooseberry,not_spoiled,20250801,9,9,17,17,17,3,30.88,32.27,1.39,17,17,17,3,TRUE,TRUE,TRUE,3,17.4643,17.7777,19.9331,18.3917,FALSE,12,12,FALSE,,29.85,31.24,1.39,30.55,31.91,1.36,32.25,33.67,1.42,1.6974,19.15,15.7786,0.6039,17.18,18.3754,0.7989,19.15,20.7162,train
Indian_Gooseberry,not_spoiled,20250802,10,10,17,17,17,3,29.99,31.3,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,13.7188,14.5838,15.6,14.6342,FALSE,11,11,FALSE,,29.48,30.89,1.41,30.08,31.37,1.29,30.41,31.63,1.22,1.0638,12.6652,14.7723,0.6285,13.9677,15.2,1.1605,14.46,16.74,val
