fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_from_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Banana,not_spoiled,20250911,1,1,17,17,17,3,29.69,32.04,2.35,17,17,17,3,TRUE,TRUE,FALSE,2,16.8232,15.6284,,16.2258,FALSE,4,4,FALSE,,28.88,31.09,2.21,29.64,31.95,2.31,30.55,33.09,2.54,1.5867,15.3,18.4311,0.3427,15.344,16.0233,,,,train
Banana,not_spoiled,20250912,2,2,17,17,17,3,29.82,32.1,2.28,17,17,17,3,TRUE,TRUE,TRUE,3,14.782,12.4505,14.6784,13.9703,FALSE,3,3,FALSE,,28.75,30.79,2.04,29.18,31.53,2.35,31.54,33.98,2.44,1.2932,13.5243,16.0863,0.387,12.7636,11.99,1.0915,15.7,13.5433,val
Banana,not_spoiled,20250913,3,3,17,17,17,3,30.28,32.38,2.1,17,17,17,3,TRUE,TRUE,TRUE,3,13.7805,16.044,13.046,14.2902,FALSE,2,2,FALSE,,30.18,32.21,2.03,29.7,31.83,2.13,30.96,33.09,2.13,0.2241,14.01,13.5718,0.5717,16.6071,15.481,1.3157,14.3448,11.7471,test
Banana,spoiled,20250915,4,1,17,17,17,3,30.48,32.11,1.63,17,17,0,2,TRUE,TRUE,TRUE,3,14.8646,14.4422,16.2757,15.1942,FALSE,0,0,FALSE,,28.99,30.41,1.42,30.78,32.42,1.64,31.66,33.51,1.85,0.047,14.89,14.8429,3.1373,11.3962,17.61,0.9209,15.4091,17.229,train
Banana,spoiled,20250916,5,2,17,0,17,2,30.82,32.34,1.52,17,0,17,2,TRUE,TRUE,TRUE,3,12.7159,16.7571,13.3718,14.2816,FALSE,0,-1,FALSE,,29.84,31.16,1.32,,,,31.8,33.52,1.72,2.5097,15.2926,10.3169,0.2234,16.5464,16.9861,3.033,10.9267,17.0394,train
Banana,spoiled,20250917,6,3,17,17,17,3,30.7,32.22,1.52,17,17,17,3,TRUE,TRUE,TRUE,3,17.1193,15.07,15.2995,15.8296,FALSE,0,-2,FALSE,,30.25,31.62,1.37,30.61,32.19,1.58,31.23,32.84,1.61,0.1551,16.9621,17.2614,0.0497,15.1,15.0418,1.136,14.4028,16.7006,val
Banana,spoiled,20250918,7,4,17,17,17,3,29.78,31.57,1.79,17,17,17,3,TRUE,TRUE,TRUE,3,15.9926,13.9728,15.0678,15.0111,FALSE,0,-3,FALSE,,29.04,30.69,1.65,29.43,31.16,1.73,30.88,32.87,1.99,0.3391,16.3127,15.6571,0.9286,14.7274,12.87,0.0507,15.0371,15.1,test
Carrot,not_spoiled,20250725,1,1,17,17,18,3,25.04,27.73,2.69,17,17,17,3,TRUE,TRUE,TRUE,3,15.78,15.5558,14.6573,15.331,FALSE,3,3,FALSE,,24.58,27.23,2.65,25.28,27.82,2.54,25.24,28.13,2.89,0.2331,15.9971,15.5462,1.2464,16.6777,14.23,0.3409,14.3246,14.99,train
Carrot,not_spoiled,20250726,2,2,17,17,17,3,24.86,27.52,2.66,17,17,17,3,TRUE,TRUE,TRUE,3,14.1562,13.8843,14.606,14.2155,FALSE,2,2,FALSE,,24.18,27.02,2.84,25.12,27.88,2.76,25.27,27.66,2.39,0.8083,13.3,14.89,1.7244,15.6455,12.27,2.779,17.44,11.99,val
Carrot,spoiled,20250728,3,1,17,17,17,3,26.33,29.61,3.28,17,17,17,3,TRUE,TRUE,TRUE,3,12.9244,15.732,16.5352,15.0639,FALSE,0,0,FALSE,,25.58,27.57,1.99,26.43,29.5,3.07,26.96,31.75,4.79,0.8401,13.78,12.13,0.0802,15.6692,15.8,2.3711,18.7771,14.1208,train
