fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_until_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Tomato,not_spoiled,20250723,1,1,17,16,17,3,26.65,27.96,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,18.2009,16.9568,16.9821,17.3799,FALSE,65,65,FALSE,,25.73,27.04,1.31,26.42,27.69,1.27,27.79,29.14,1.35,0.0343,18.2062,18.1956,0.6871,17.6357,16.2779,0.5138,16.4793,17.485,train
Tomato,not_spoiled,20250724,2,2,17,17,16,3,27.8,28.92,1.12,17,17,17,3,TRUE,TRUE,TRUE,3,15.3003,15.1224,17.41,15.9442,FALSE,64,64,FALSE,,27.71,28.76,1.05,27.79,28.98,1.19,27.92,29.02,1.1,0.8513,14.46,16.1406,0.0783,15.0679,15.1769,2.4644,19.83,14.99,train
Tomato,not_spoiled,20250725,3,3,17,17,17,3,27.44,28.58,1.14,17,17,17,3,TRUE,TRUE,TRUE,3,20.3075,17.2946,14.55,17.384,FALSE,63,63,FALSE,,27.25,28.32,1.07,27.08,28.3,1.22,27.99,29.14,1.15,1.4692,21.75,18.865,0.495,16.8092,17.78,1.2748,15.8,13.3,test
Tomato,not_spoiled,20250726,4,4,17,17,17,3,27.1,28.22,1.12,17,17,17,3,TRUE,TRUE,TRUE,3,16.685,16.397,12.4377,15.1732,FALSE,62,62,FALSE,,26.8,27.93,1.13,27.32,28.49,1.17,27.19,28.24,1.05,0.4114,17.09,16.28,0.1233,16.28,16.514,0.0642,12.4754,12.4,train
Tomato,not_spoiled,20250728,5,5,17,17,17,3,28.31,29.74,1.43,17,17,17,3,TRUE,TRUE,TRUE,3,15.8993,17.4277,17.2237,16.8502,FALSE,60,60,FALSE,,26.92,27.96,1.04,27.62,28.95,1.33,30.39,32.29,1.9,1.213,17.09,14.7086,0.0576,17.4645,17.3909,0.395,16.8375,17.61,test
Tomato,not_spoiled,20250729,6,6,17,17,17,3,30.13,31.55,1.42,17,17,17,3,TRUE,TRUE,TRUE,3,15.745,16.2066,15.8457,15.9324,FALSE,59,59,FALSE,,28.76,29.9,1.14,30.26,31.58,1.32,31.37,33.17,1.8,0.3451,16.0817,15.4083,1.1478,15.0817,17.3315,1.9815,13.9,17.7914,test
Tomato,not_spoiled,20250730,7,7,17,17,17,3,31.2,32.51,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,19.0915,20.36,18.9425,19.4647,FALSE,58,58,FALSE,,30.16,31.3,1.14,30.85,32.03,1.18,32.59,34.19,1.6,0.214,19.3,18.8831,2.0023,22.3231,18.3969,0.04,18.9464,18.9386,val
Tomato,not_spoiled,20250731,8,8,17,17,17,3,31.38,32.68,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,17.95,17.6615,18.4092,18.0069,FALSE,57,57,FALSE,,30.83,31.91,1.08,31.11,32.25,1.14,32.2,33.87,1.67,0.0,17.95,17.95,1.3151,16.37,18.9531,0.4672,17.9471,18.8712,train
Tomato,not_spoiled,20250801,9,9,17,17,17,3,31.5,32.8,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,20.0145,16.2609,17.0851,17.7868,FALSE,56,56,FALSE,,30.86,32.0,1.14,31.04,32.27,1.23,32.59,34.14,1.55,0.8047,20.8108,19.2181,1.0328,15.2385,17.2833,0.9309,16.162,18.0082,train
Tomato,not_spoiled,20250802,10,10,17,16,17,3,30.52,31.73,1.21,17,17,17,3,TRUE,TRUE,TRUE,3,16.9778,15.91,15.56,16.1493,FALSE,55,55,FALSE,,30.21,31.41,1.2,30.81,31.91,1.1,30.57,31.88,1.31,1.3799,18.344,15.6115,0.6226,16.52,15.3,2.2644,13.34,17.78,train
