config,seed,pattern,level,repeat,f1,auc
full_model,0,rgb,0.0,0,0.8,0.8611111111111112
full_model,0,rgb,0.0,1,0.8,0.8611111111111112
full_model,0,rgb,0.0,2,0.8,0.8611111111111112
full_model,0,rgb,0.0,3,0.8,0.8611111111111112
full_model,0,rgb,0.0,4,0.8,0.8611111111111112
full_model,0,rgb,0.1,0,0.8,0.8611111111111112
full_model,0,rgb,0.1,1,0.8571428571428571,0.8333333333333334
full_model,0,rgb,0.1,2,0.75,0.8333333333333335
full_model,0,rgb,0.1,3,0.75,0.8333333333333334
full_model,0,rgb,0.1,4,0.8,0.8611111111111112
full_model,0,rgb,0.2,0,0.8,0.8611111111111112
full_model,0,rgb,0.2,1,0.75,0.8055555555555556
full_model,0,rgb,0.2,2,0.75,0.8611111111111112
full_model,0,rgb,0.2,3,0.7058823529411765,0.8333333333333335
full_model,0,rgb,0.2,4,0.8,0.8611111111111112
full_model,0,rgb,0.3,0,0.8,0.8611111111111112
full_model,0,rgb,0.3,1,0.7058823529411765,0.8055555555555556
full_model,0,rgb,0.3,2,0.75,0.8333333333333335
full_model,0,rgb,0.3,3,0.8,0.8333333333333334
full_model,0,rgb,0.3,4,0.75,0.8611111111111112
full_model,0,rgb,0.4,0,0.75,0.8611111111111112
full_model,0,rgb,0.4,1,0.7058823529411765,0.7777777777777779
full_model,0,rgb,0.4,2,0.8,0.8333333333333334
full_model,0,rgb,0.4,3,0.7058823529411765,0.8333333333333334
full_model,0,rgb,0.4,4,0.8,0.8333333333333335
full_model,0,rgb,0.5,0,0.75,0.8055555555555556
full_model,0,rgb,0.5,1,0.75,0.8055555555555556
full_model,0,rgb,0.5,2,0.75,0.8333333333333335
full_model,0,rgb,0.5,3,0.75,0.8055555555555556
full_model,0,rgb,0.5,4,0.7058823529411765,0.8055555555555556
full_model,0,ir,0.0,0,0.8,0.8611111111111112
full_model,0,ir,0.0,1,0.8,0.8611111111111112
full_model,0,ir,0.0,2,0.8,0.8611111111111112
full_model,0,ir,0.0,3,0.8,0.8611111111111112
full_model,0,ir,0.0,4,0.8,0.8611111111111112
full_model,0,ir,0.1,0,0.8,0.8611111111111112
full_model,0,ir,0.1,1,0.8,0.8333333333333335
full_model,0,ir,0.1,2,0.75,0.8611111111111112
full_model,0,ir,0.1,3,0.8,0.8333333333333334
full_model,0,ir,0.1,4,0.8,0.8611111111111112
full_model,0,ir,0.2,0,0.8,0.8055555555555556
full_model,0,ir,0.2,1,0.8,0.8611111111111112
full_model,0,ir,0.2,2,0.8,0.8055555555555556
full_model,0,ir,0.2,3,0.8,0.8333333333333335
full_model,0,ir,0.2,4,0.8,0.8611111111111112
full_model,0,ir,0.3,0,0.75,0.75
full_model,0,ir,0.3,1,0.8,0.8055555555555556
full_model,0,ir,0.3,2,0.8,0.8611111111111112
full_model,0,ir,0.3,3,0.8,0.8611111111111112
full_model,0,ir,0.3,4,0.8,0.9444444444444444
full_model,0,ir,0.4,0,0.8,0.888888888888889
full_model,0,ir,0.4,1,0.8,0.9444444444444444
full_model,0,ir,0.4,2,0.75,0.888888888888889
full_model,0,ir,0.4,3,0.8,0.8333333333333335
full_model,0,ir,0.4,4,0.75,0.8333333333333334
full_model,0,ir,0.5,0,0.75,0.9166666666666667
full_model,0,ir,0.5,1,0.8,0.9722222222222223
full_model,0,ir,0.5,2,0.8,0.9444444444444445
full_model,0,ir,0.5,3,0.8,0.888888888888889
full_model,0,ir,0.5,4,0.8,0.9444444444444445
