held_out_fruit,seed,f1,accuracy,n_correct,both_correct,threshold
Banana,0,0.0,0.0,0,False,0.62
Banana,1,1.0,1.0,2,True,0.7
Banana,2,1.0,1.0,2,True,0.66
Banana,3,0.0,0.5,1,False,0.69
Banana,4,0.6667,0.5,1,False,0.65
Banana,5,0.6667,0.5,1,False,0.77
Banana,6,0.6667,0.5,1,False,0.62
Banana,7,0.6667,0.5,1,False,0.81
Banana,8,1.0,1.0,2,True,0.52
Banana,9,0.6667,0.5,1,False,0.66
Carrot,0,1.0,1.0,2,True,0.64
Carrot,1,0.6667,0.5,1,False,0.61
Carrot,2,0.6667,0.5,1,False,0.64
Carrot,3,0.0,0.5,1,False,0.63
Carrot,4,0.0,0.5,1,False,0.64
Carrot,5,0.0,0.5,1,False,0.79
Carrot,6,0.6667,0.5,1,False,0.58
Carrot,7,0.6667,0.5,1,False,0.68
Carrot,8,0.0,0.0,0,False,0.57
Carrot,9,0.0,0.0,0,False,0.65
Guava,0,0.6667,0.5,1,False,0.63
Guava,1,0.6667,0.5,1,False,0.63
Guava,2,0.6667,0.5,1,False,0.65
Guava,3,0.0,0.0,0,False,0.67
Guava,4,0.6667,0.5,1,False,0.65
Guava,5,0.6667,0.5,1,False,0.8
Guava,6,0.0,0.0,0,False,0.7
Guava,7,0.6667,0.5,1,False,0.72
Guava,8,0.0,0.0,0,False,0.58
Guava,9,0.0,0.5,1,False,0.67
Indian_Gooseberry,0,0.0,0.5,1,False,0.67
Indian_Gooseberry,1,0.0,0.5,1,False,0.75
Indian_Gooseberry,2,1.0,1.0,2,True,0.66
Indian_Gooseberry,3,0.0,0.5,1,False,0.71
Indian_Gooseberry,4,0.6667,0.5,1,False,0.62
Indian_Gooseberry,5,0.0,0.5,1,False,0.79
Indian_Gooseberry,6,0.0,0.5,1,False,0.68
Indian_Gooseberry,7,0.0,0.5,1,False,0.81
Indian_Gooseberry,8,0.0,0.0,0,False,0.53
Indian_Gooseberry,9,0.0,0.5,1,False,0.65
Mango,0,0.6667,0.5,1,False,0.62
Mango,1,0.6667,0.5,1,False,0.64
Mango,2,0.6667,0.5,1,False,0.66
Mango,3,0.0,0.5,1,False,0.7
Mango,4,0.0,0.0,0,False,0.64
Mango,5,0.6667,0.5,1,False,0.75
Mango,6,0.0,0.0,0,False,0.63
Mango,7,0.6667,0.5,1,False,0.76
Mango,8,0.6667,0.5,1,False,0.55
Mango,9,1.0,1.0,2,True,0.67
Tomato,0,1.0,1.0,2,True,0.62
Tomato,1,1.0,1.0,2,True,0.63
Tomato,2,0.6667,0.5,1,False,0.66
Tomato,3,1.0,1.0,2,True,0.66
Tomato,4,0.6667,0.5,1,False,0.69
Tomato,5,0.0,0.5,1,False,0.76
Tomato,6,1.0,1.0,2,True,0.59
Tomato,7,1.0,1.0,2,True,0.72
Tomato,8,0.0,0.0,0,False,0.6
Tomato,9,1.0,1.0,2,True,0.66
