held_out_fruit,seed,threshold,n_holdout_trajectories,labels,preds,probs_spoiled,correct,n_correct,both_correct
Banana,0,0.62,2,"[0, 1]","[1, 0]","[0.6470398902893066, 0.6190188527107239]","[0, 0]",0,False
Banana,1,0.7,2,"[0, 1]","[0, 1]","[0.6693269610404968, 0.7162293195724487]","[1, 1]",2,True
Banana,2,0.66,2,"[0, 1]","[0, 1]","[0.6334812641143799, 0.7058990001678467]","[1, 1]",2,True
Banana,3,0.69,2,"[0, 1]","[0, 0]","[0.6199917197227478, 0.6851547360420227]","[1, 0]",1,False
Banana,4,0.65,2,"[0, 1]","[1, 1]","[0.6643518209457397, 0.6871485710144043]","[0, 1]",1,False
Banana,5,0.77,2,"[0, 1]","[1, 1]","[0.8253667950630188, 0.8382974863052368]","[0, 1]",1,False
Banana,6,0.62,2,"[0, 1]","[1, 1]","[0.6504486799240112, 0.6708697080612183]","[0, 1]",1,False
Banana,7,0.81,2,"[0, 1]","[1, 1]","[0.864519476890564, 0.8548740148544312]","[0, 1]",1,False
Banana,8,0.52,2,"[0, 1]","[0, 1]","[0.5049725770950317, 0.5558947920799255]","[1, 1]",2,True
Banana,9,0.66,2,"[0, 1]","[1, 1]","[0.6747803688049316, 0.7184005379676819]","[0, 1]",1,False
Carrot,0,0.64,2,"[0, 1]","[0, 1]","[0.6237204074859619, 0.6533198952674866]","[1, 1]",2,True
Carrot,1,0.61,2,"[0, 1]","[1, 1]","[0.7198355793952942, 0.6957233548164368]","[0, 1]",1,False
Carrot,2,0.64,2,"[0, 1]","[1, 1]","[0.7598451375961304, 0.73023521900177]","[0, 1]",1,False
Carrot,3,0.63,2,"[0, 1]","[0, 0]","[0.603853702545166, 0.60276859998703]","[1, 0]",1,False
Carrot,4,0.64,2,"[0, 1]","[0, 0]","[0.5903329253196716, 0.5648885369300842]","[1, 0]",1,False
Carrot,5,0.79,2,"[0, 1]","[0, 0]","[0.7403683662414551, 0.6874828338623047]","[1, 0]",1,False
Carrot,6,0.58,2,"[0, 1]","[1, 1]","[0.6949427723884583, 0.6258795857429504]","[0, 1]",1,False
Carrot,7,0.68,2,"[0, 1]","[1, 1]","[0.7853185534477234, 0.7170672416687012]","[0, 1]",1,False
Carrot,8,0.57,2,"[0, 1]","[1, 0]","[0.6076800227165222, 0.5303630232810974]","[0, 0]",0,False
Carrot,9,0.65,2,"[0, 1]","[1, 0]","[0.6590490341186523, 0.6115405559539795]","[0, 0]",0,False
Guava,0,0.63,2,"[0, 1]","[1, 1]","[0.6830374002456665, 0.643120527267456]","[0, 1]",1,False
Guava,1,0.63,2,"[0, 1]","[1, 1]","[0.6460856795310974, 0.6467767357826233]","[0, 1]",1,False
Guava,2,0.65,2,"[0, 1]","[1, 1]","[0.74006187915802, 0.719711184501648]","[0, 1]",1,False
Guava,3,0.67,2,"[0, 1]","[1, 0]","[0.676151692867279, 0.6456139087677002]","[0, 0]",0,False
Guava,4,0.65,2,"[0, 1]","[1, 1]","[0.664702832698822, 0.6956242918968201]","[0, 1]",1,False
Guava,5,0.8,2,"[0, 1]","[1, 1]","[0.8358783721923828, 0.8181688189506531]","[0, 1]",1,False
Guava,6,0.7,2,"[0, 1]","[1, 0]","[0.7007553577423096, 0.6859777569770813]","[0, 0]",0,False
Guava,7,0.72,2,"[0, 1]","[1, 1]","[0.8347145318984985, 0.8413485288619995]","[0, 1]",1,False
Guava,8,0.58,2,"[0, 1]","[1, 0]","[0.6009175777435303, 0.5256128311157227]","[0, 0]",0,False
Guava,9,0.67,2,"[0, 1]","[0, 0]","[0.6604491472244263, 0.6609311103820801]","[1, 0]",1,False
Indian_Gooseberry,0,0.67,2,"[0, 1]","[0, 0]","[0.6521199941635132, 0.5319942831993103]","[1, 0]",1,False
Indian_Gooseberry,1,0.75,2,"[0, 1]","[0, 0]","[0.6523249745368958, 0.6434248089790344]","[1, 0]",1,False
Indian_Gooseberry,2,0.66,2,"[0, 1]","[0, 1]","[0.6454432606697083, 0.6729143261909485]","[1, 1]",2,True
Indian_Gooseberry,3,0.71,2,"[0, 1]","[0, 0]","[0.7009627223014832, 0.6503190398216248]","[1, 0]",1,False
Indian_Gooseberry,4,0.62,2,"[0, 1]","[1, 1]","[0.6871464848518372, 0.639118492603302]","[0, 1]",1,False
Indian_Gooseberry,5,0.79,2,"[0, 1]","[0, 0]","[0.7168115973472595, 0.717630922794342]","[1, 0]",1,False
Indian_Gooseberry,6,0.68,2,"[0, 1]","[0, 0]","[0.6039985418319702, 0.6479435563087463]","[1, 0]",1,False
Indian_Gooseberry,7,0.81,2,"[0, 1]","[0, 0]","[0.7306746244430542, 0.6638143062591553]","[1, 0]",1,False
Indian_Gooseberry,8,0.53,2,"[0, 1]","[1, 0]","[0.5766734480857849, 0.49630337953567505]","[0, 0]",0,False
Indian_Gooseberry,9,0.65,2,"[0, 1]","[0, 0]","[0.6033504605293274, 0.6147787570953369]","[1, 0]",1,False
Mango,0,0.62,2,"[0, 1]","[1, 1]","[0.7249174118041992, 0.7386495471000671]","[0, 1]",1,False
Mango,1,0.64,2,"[0, 1]","[1, 1]","[0.6816883683204651, 0.7089757323265076]","[0, 1]",1,False
Mango,2,0.66,2,"[0, 1]","[1, 1]","[0.7749975323677063, 0.719459593296051]","[0, 1]",1,False
Mango,3,0.7,2,"[0, 1]","[0, 0]","[0.6666905283927917, 0.6383599042892456]","[1, 0]",1,False
Mango,4,0.64,2,"[0, 1]","[1, 0]","[0.708785891532898, 0.6377516984939575]","[0, 0]",0,False
Mango,5,0.75,2,"[0, 1]","[1, 1]","[0.8366216421127319, 0.8081845641136169]","[0, 1]",1,False
Mango,6,0.63,2,"[0, 1]","[1, 0]","[0.6586394906044006, 0.6268420219421387]","[0, 0]",0,False
Mango,7,0.76,2,"[0, 1]","[1, 1]","[0.7848625779151917, 0.7924301028251648]","[0, 1]",1,False
Mango,8,0.55,2,"[0, 1]","[1, 1]","[0.5776026248931885, 0.5604451298713684]","[0, 1]",1,False
Mango,9,0.67,2,"[0, 1]","[0, 1]","[0.5914348363876343, 0.6769565343856812]","[1, 1]",2,True
Tomato,0,0.62,2,"[0, 1]","[0, 1]","[0.5878860950469971, 0.6918150782585144]","[1, 1]",2,True
Tomato,1,0.63,2,"[0, 1]","[0, 1]","[0.5939353108406067, 0.6554519534111023]","[1, 1]",2,True
Tomato,2,0.66,2,"[0, 1]","[1, 1]","[0.6663885712623596, 0.6750178337097168]","[0, 1]",1,False
Tomato,3,0.66,2,"[0, 1]","[0, 1]","[0.5399547815322876, 0.6669591069221497]","[1, 1]",2,True
Tomato,4,0.69,2,"[0, 1]","[1, 1]","[0.7668411731719971, 0.7020225524902344]","[0, 1]",1,False
Tomato,5,0.76,2,"[0, 1]","[0, 0]","[0.6668791174888611, 0.7563984394073486]","[1, 0]",1,False
Tomato,6,0.59,2,"[0, 1]","[0, 1]","[0.5369203090667725, 0.6750982999801636]","[1, 1]",2,True
Tomato,7,0.72,2,"[0, 1]","[0, 1]","[0.6360912322998047, 0.7900313138961792]","[1, 1]",2,True
Tomato,8,0.6,2,"[0, 1]","[1, 0]","[0.6033337712287903, 0.5771584510803223]","[0, 0]",0,False
Tomato,9,0.66,2,"[0, 1]","[0, 1]","[0.5581273436546326, 0.6871891617774963]","[1, 1]",2,True
