held_out_fruit,seed,trajectory_idx,label,pred,prob_spoiled,correct
Banana,0,0,0,1,0.6470398902893066,0
Banana,0,1,1,0,0.6190188527107239,0
Banana,1,0,0,0,0.6693269610404968,1
Banana,1,1,1,1,0.7162293195724487,1
Banana,2,0,0,0,0.6334812641143799,1
Banana,2,1,1,1,0.7058990001678467,1
Banana,3,0,0,0,0.6199917197227478,1
Banana,3,1,1,0,0.6851547360420227,0
Banana,4,0,0,1,0.6643518209457397,0
Banana,4,1,1,1,0.6871485710144043,1
Banana,5,0,0,1,0.8253667950630188,0
Banana,5,1,1,1,0.8382974863052368,1
Banana,6,0,0,1,0.6504486799240112,0
Banana,6,1,1,1,0.6708697080612183,1
Banana,7,0,0,1,0.864519476890564,0
Banana,7,1,1,1,0.8548740148544312,1
Banana,8,0,0,0,0.5049725770950317,1
Banana,8,1,1,1,0.5558947920799255,1
Banana,9,0,0,1,0.6747803688049316,0
Banana,9,1,1,1,0.7184005379676819,1
Carrot,0,0,0,0,0.6237204074859619,1
Carrot,0,1,1,1,0.6533198952674866,1
Carrot,1,0,0,1,0.7198355793952942,0
Carrot,1,1,1,1,0.6957233548164368,1
Carrot,2,0,0,1,0.7598451375961304,0
Carrot,2,1,1,1,0.73023521900177,1
Carrot,3,0,0,0,0.603853702545166,1
Carrot,3,1,1,0,0.60276859998703,0
Carrot,4,0,0,0,0.5903329253196716,1
Carrot,4,1,1,0,0.5648885369300842,0
Carrot,5,0,0,0,0.7403683662414551,1
Carrot,5,1,1,0,0.6874828338623047,0
Carrot,6,0,0,1,0.6949427723884583,0
Carrot,6,1,1,1,0.6258795857429504,1
Carrot,7,0,0,1,0.7853185534477234,0
Carrot,7,1,1,1,0.7170672416687012,1
Carrot,8,0,0,1,0.6076800227165222,0
Carrot,8,1,1,0,0.5303630232810974,0
Carrot,9,0,0,1,0.6590490341186523,0
Carrot,9,1,1,0,0.6115405559539795,0
Guava,0,0,0,1,0.6830374002456665,0
Guava,0,1,1,1,0.643120527267456,1
Guava,1,0,0,1,0.6460856795310974,0
Guava,1,1,1,1,0.6467767357826233,1
Guava,2,0,0,1,0.74006187915802,0
Guava,2,1,1,1,0.719711184501648,1
Guava,3,0,0,1,0.676151692867279,0
Guava,3,1,1,0,0.6456139087677002,0
Guava,4,0,0,1,0.664702832698822,0
Guava,4,1,1,1,0.6956242918968201,1
Guava,5,0,0,1,0.8358783721923828,0
Guava,5,1,1,1,0.8181688189506531,1
Guava,6,0,0,1,0.7007553577423096,0
Guava,6,1,1,0,0.6859777569770813,0
Guava,7,0,0,1,0.8347145318984985,0
Guava,7,1,1,1,0.8413485288619995,1
Guava,8,0,0,1,0.6009175777435303,0
Guava,8,1,1,0,0.5256128311157227,0
Guava,9,0,0,0,0.6604491472244263,1
Guava,9,1,1,0,0.6609311103820801,0
Indian_Gooseberry,0,0,0,0,0.6521199941635132,1
Indian_Gooseberry,0,1,1,0,0.5319942831993103,0
Indian_Gooseberry,1,0,0,0,0.6523249745368958,1
Indian_Gooseberry,1,1,1,0,0.6434248089790344,0
Indian_Gooseberry,2,0,0,0,0.6454432606697083,1
Indian_Gooseberry,2,1,1,1,0.6729143261909485,1
Indian_Gooseberry,3,0,0,0,0.7009627223014832,1
Indian_Gooseberry,3,1,1,0,0.6503190398216248,0
Indian_Gooseberry,4,0,0,1,0.6871464848518372,0
Indian_Gooseberry,4,1,1,1,0.639118492603302,1
Indian_Gooseberry,5,0,0,0,0.7168115973472595,1
Indian_Gooseberry,5,1,1,0,0.717630922794342,0
Indian_Gooseberry,6,0,0,0,0.6039985418319702,1
Indian_Gooseberry,6,1,1,0,0.6479435563087463,0
Indian_Gooseberry,7,0,0,0,0.7306746244430542,1
Indian_Gooseberry,7,1,1,0,0.6638143062591553,0
Indian_Gooseberry,8,0,0,1,0.5766734480857849,0
Indian_Gooseberry,8,1,1,0,0.49630337953567505,0
Indian_Gooseberry,9,0,0,0,0.6033504605293274,1
Indian_Gooseberry,9,1,1,0,0.6147787570953369,0
Mango,0,0,0,1,0.7249174118041992,0
Mango,0,1,1,1,0.7386495471000671,1
Mango,1,0,0,1,0.6816883683204651,0
Mango,1,1,1,1,0.7089757323265076,1
Mango,2,0,0,1,0.7749975323677063,0
Mango,2,1,1,1,0.719459593296051,1
Mango,3,0,0,0,0.6666905283927917,1
Mango,3,1,1,0,0.6383599042892456,0
Mango,4,0,0,1,0.708785891532898,0
Mango,4,1,1,0,0.6377516984939575,0
Mango,5,0,0,1,0.8366216421127319,0
Mango,5,1,1,1,0.8081845641136169,1
Mango,6,0,0,1,0.6586394906044006,0
Mango,6,1,1,0,0.6268420219421387,0
Mango,7,0,0,1,0.7848625779151917,0
Mango,7,1,1,1,0.7924301028251648,1
Mango,8,0,0,1,0.5776026248931885,0
Mango,8,1,1,1,0.5604451298713684,1
Mango,9,0,0,0,0.5914348363876343,1
Mango,9,1,1,1,0.6769565343856812,1
Tomato,0,0,0,0,0.5878860950469971,1
Tomato,0,1,1,1,0.6918150782585144,1
Tomato,1,0,0,0,0.5939353108406067,1
Tomato,1,1,1,1,0.6554519534111023,1
Tomato,2,0,0,1,0.6663885712623596,0
Tomato,2,1,1,1,0.6750178337097168,1
Tomato,3,0,0,0,0.5399547815322876,1
Tomato,3,1,1,1,0.6669591069221497,1
Tomato,4,0,0,1,0.7668411731719971,0
Tomato,4,1,1,1,0.7020225524902344,1
Tomato,5,0,0,0,0.6668791174888611,1
Tomato,5,1,1,0,0.7563984394073486,0
Tomato,6,0,0,0,0.5369203090667725,1
Tomato,6,1,1,1,0.6750982999801636,1
Tomato,7,0,0,0,0.6360912322998047,1
Tomato,7,1,1,1,0.7900313138961792,1
Tomato,8,0,0,1,0.6033337712287903,0
Tomato,8,1,1,0,0.5771584510803223,0
Tomato,9,0,0,0,0.5581273436546326,1
Tomato,9,1,1,1,0.6871891617774963,1
